title,url,discounted_price,original_price
Chest Pack Men Casual Shoulder Crossbody Bag USB Charging Chest Bag Oxford,https://www.cigabuy.com/chest-pack-men-casual-shoulder-crossbody-bag-usb-charging-chest-bag-oxford-p-20517.html,$9.06,$18.43 
JAKEMY JM-8174 45 in 1 Screwdriver Set Magnetic Screwdriver Set Precision,https://www.cigabuy.com/jakemy-jm-8174-45-in-1-screwdriver-set-magnetic-screwdriver-set-precision-p-20525.html,$9.69,$17.45 
Authentic Lost vape Thelema 80W Pod Kit 4ml - Gunmetal / Grain Leather,https://www.cigabuy.com/authentic-lost-vape-thelema-80w-pod-kit-4ml-gunmetal-grain-leather-p-20008.html,$30.33,$54.16 
Authentic Oumier Wasp Nano S Dual-Coil BF RDA 25mm - SS,https://www.cigabuy.com/authentic-oumier-wasp-nano-s-dual-coil-bf-rda-25mm-ss-p-20099.html,$17.20,$20.83 
Wireless Handheld Vacuum Cleaner with 6000pa Strong Suction Auto Portable,https://www.cigabuy.com/wireless-handheld-vacuum-cleaner-with-6000pa-strong-suction-auto-portable-p-20523.html,$8.95,$16.11 
Authentic Uwell Aeglos Pod Kit - Red,https://www.cigabuy.com/authentic-uwell-aeglos-pod-kit-red-p-20288.html,$22.87,$40.03 
JAKEMY JM-8176 106 IN 1 Precision Screwdriver Set Magnetic Torx Bit Repair Set ,https://www.cigabuy.com/jakemy-jm-8176-106-in-1-precision-screwdriver-set-magnetic-torx-bit-repair-set-p-20526.html,$8.54,$17.56 
Authentic Uwell Valyrian Pod Kit - Gold,https://www.cigabuy.com/authentic-uwell-valyrian-pod-kit-gold-p-19506.html,$21.66,$36.80 
5 x Authentic Wotofo D14 A1 Conical nexMESH Coil 0.2ohm,https://www.cigabuy.com/5-x-authentic-wotofo-d14-a1-conical-nexmesh-coil-02ohm-p-20140.html,$8.28,$20.65 
20pcs Drill Flip Drive Kit Multi-function Drill Bit Set Quick Easy Operation,https://www.cigabuy.com/20pcs-drill-flip-drive-kit-multi-function-drill-bit-set-quick-easy-operation-p-20518.html,$4.37,$7.87 
JAKEMY JM-8175 50-in-1 Screwdriver Set Torx Hex Slotted Phillips & More Bits,https://www.cigabuy.com/jakemy-jm-8175-50-in-1-screwdriver-set-torx-hex-slotted-phillips-more-bits-p-20519.html,$8.20,$15.64 
Baellerry Men Short Wallets Solid Luxury Slim Credit Card Holder Wallet,https://www.cigabuy.com/baellerry-men-short-wallets-solid-luxury-slim-credit-card-holder-wallet-p-20514.html,$4.16,$7.49 
Baellerry Men Short Wallets Canvas Solid Luxury Slim Credit Card Holder Wallet,https://www.cigabuy.com/baellerry-men-short-wallets-canvas-solid-luxury-slim-credit-card-holder-wallet-p-20515.html,$4.16,$7.49 
Car Heater Interior Winter Fast Heating Fan Windscreen Demister Dashboard Seat,https://www.cigabuy.com/car-heater-interior-winter-fast-heating-fan-windscreen-demister-dashboard-seat-p-20522.html,$5.86,$12.79 
